Traces,LRU,ship,hawkeye_base,hawkeye_OPTGEN_VECTOR_SIZE_32,hawkeye_OPTGEN_VECTOR_SIZE_64,hawkeye_OPTGEN_VECTOR_SIZE_256,hawkeye_OPTGEN_VECTOR_SIZE_512,
GemsFDTD_109B, 0.283648, 0.285414, 0.314225, 0.314086, 0.31408, 0.314041, 0.313456,
GemsFDTD_712B, 0.245121, 0.2447, 0.264601, 0.264237, 0.264973, 0.265278, 0.265113,
GemsFDTD_716B, 0.666375, 0.665459, 0.664643, 0.665118, 0.665168, 0.664042, 0.664023,
astar_163B, 0.660201, 0.66247, 0.657786, 0.654793, 0.654741, 0.655074, 0.655074,
astar_23B, 0.419457, 0.41898, 0.416812, 0.415022, 0.415532, 0.41597, 0.416675,
astar_313B, 0.146795, 0.147964, 0.177906, 0.283932, 0.292451, 0.292059, 0.292056,
bwaves_1609B, 0.2839, 0.2839, 0.292293, 0.323413, 0.332843, 0.332741, 0.332741,
bwaves_1861B, 0.322095, 0.322136, 0.333476, 1.63214, 1.63214, 1.63214, 1.63214,
bwaves_98B, 1.63098, 1.63101, 1.63188, 1.25125, 1.25271, 1.25271, 1.25271,
bzip2_183B, 1.21424, 1.22327, 1.24346, 1.4063, 1.40896, 1.40907, 1.40907,
bzip2_259B, 1.37101, 1.40418, 1.40729, 1.37167, 1.37025, 1.36772, 1.36776,
bzip2_281B, 1.35262, 1.35926, 1.35982, 1.16585, 1.20644, 1.2136, 1.2136,
cactusADM_1039B, 0.919853, 0.92173, 1.20787, 1.21351, 1.24182, 1.23758, 1.23758,
cactusADM_1495B, 0.947467, 0.947964, 1.2439, 2.69575, 2.69561, 2.69561, 2.69561,
cactusADM_734B, 0.908035, 0.908763, 1.17989, 2.81774, 2.81774, 2.81774, 2.81774,
calculix_2655B, 2.63851, 2.66754, 2.67016, 2.64136, 2.58543, 2.58682, 2.58682,
calculix_2670B, 2.81774, 2.81774, 2.81774, 1.57027, 1.57027, 1.57027, 1.57027,
calculix_3812B, 2.60616, 2.65427, 2.58889, 1.58692, 1.58692, 1.58692, 1.58692,
gamess_196B, 1.57002, 1.57002, 1.57002, 1.65948, 1.65948, 1.65948, 1.65948,
gamess_247B, 1.58687, 1.58687, 1.58687, 0.379675, 0.36894, 0.373711, 0.373711,
gamess_316B, 1.65947, 1.65947, 1.65947, 1.23345, 1.23345, 1.23345, 1.23345,
gcc_13B, 0.349187, 0.348736, 0.373272, 1.45358, 1.45352, 1.4548, 1.4548,
gcc_39B, 1.23344, 1.23344, 1.23345, 0.882286, 0.882296, 0.882295, 0.882295,
gcc_56B, 1.45843, 1.45847, 1.45785, 0.910211, 0.910211, 0.910211, 0.910211,
gobmk_135B, 0.882018, 0.882233, 0.882303, 0.874687, 0.874691, 0.874693, 0.874693,
gobmk_60B, 0.910497, 0.9105, 0.91054, 1.8308, 1.8308, 1.8308, 1.8308,
