Traces,LRU,ship,hawkeye_base,hawkeye_OPTGEN_VECTOR_SIZE_32,hawkeye_OPTGEN_VECTOR_SIZE_64,hawkeye_OPTGEN_VECTOR_SIZE_256,hawkeye_OPTGEN_VECTOR_SIZE_512,
GemsFDTD_109B, 29.5603, 29.4737, 34.3807, 34.4387, 34.357, 34.1791, 34.2468,
GemsFDTD_712B, 30.8693, 31.0156, 38.3794, 38.7638, 38.6525, 38.2495, 38.401,
GemsFDTD_716B, 14.2988, 14.258, 14.2399, 14.1409, 14.1527, 14.2223, 14.2228,
astar_163B, 1.04899, 1.00637, 1.5487, 1.62376, 1.64438, 1.63848, 1.63848,
astar_23B, 2.34687, 2.47195, 2.78844, 2.92208, 2.86408, 2.77259, 2.69352,
astar_313B, 40.2296, 41.6347, 42.7085, 23.3429, 22.0914, 22.2212, 22.2217,
bwaves_1609B, 22.7676, 22.7674, 22.1934, 24.51, 23.4565, 23.6039, 23.6039,
bwaves_1861B, 23.1781, 23.1784, 23.5924, 0.49357, 0.49357, 0.49357, 0.49357,
bwaves_98B, 0.44515, 0.44537, 0.49355, 1.28624, 1.26295, 1.26295, 1.26295,
bzip2_183B, 1.50236, 1.48723, 1.36824, 2.99439, 2.93093, 2.92996, 2.92996,
bzip2_259B, 3.02356, 2.74037, 3.01102, 2.31245, 2.24752, 2.31635, 2.31809,
bzip2_281B, 2.38, 2.28488, 2.36609, 8.62796, 8.20487, 8.16241, 8.16241,
cactusADM_1039B, 8.95289, 8.95423, 8.21243, 8.10244, 7.7479, 7.7726, 7.7726,
cactusADM_1495B, 8.57671, 8.57878, 7.75906, 1.21125, 1.21212, 1.21159, 1.21159,
cactusADM_734B, 8.93522, 8.9418, 8.24235, 0.0189, 0.0189, 0.0189, 0.0189,
calculix_2655B, 1.13043, 1.11835, 1.22362, 0.79224, 0.94692, 0.94151, 0.94151,
calculix_2670B, 0.0189, 0.0189, 0.0189, 0.03107, 0.03107, 0.03107, 0.03107,
calculix_3812B, 0.83019, 0.74979, 0.93318, 0.01337, 0.01337, 0.01337, 0.01337,
gamess_196B, 0.03107, 0.03107, 0.03107, 0.03052, 0.03052, 0.03052, 0.03052,
gamess_247B, 0.01337, 0.01337, 0.01337, 16.6307, 16.7719, 16.163, 16.163,
gamess_316B, 0.03052, 0.03052, 0.03052, 0.24579, 0.24579, 0.24579, 0.24579,
gcc_13B, 14.5893, 14.6205, 16.333, 0.57978, 0.58084, 0.57704, 0.57704,
gcc_39B, 0.24572, 0.24577, 0.24574, 0.29325, 0.28734, 0.28735, 0.28735,
gcc_56B, 0.54689, 0.54392, 0.57837, 0.27719, 0.27719, 0.27719, 0.27719,
gobmk_135B, 0.274, 0.27159, 0.28585, 0.23164, 0.23168, 0.23167, 0.23167,
gobmk_60B, 0.26712, 0.26826, 0.28127, 0.22208, 0.22208, 0.22208, 0.22208,
gobmk_76B, 0.23215, 0.22875, 0.23603, 0.07006, 0.07006, 0.07006, 0.07006,
gromacs_0B, 0.22212, 0.22212, 0.22212, 0.74855, 0.74822, 0.74822, 0.74822,
gromacs_1B, 0.07009, 0.07009, 0.07009, 0.77192, 0.77514, 0.77514, 0.77514,
h264ref_178B, 0.76607, 0.745, 0.76143, 0.82269, 0.8242, 0.8242, 0.8242,
h264ref_273B, 0.79852, 0.75638, 0.75096, 2.14758, 2.02766, 2.03322, 2.03322,
h264ref_351B, 0.88766, 0.87988, 0.84877, 0.14712, 0.14712, 0.14712, 0.14712,
hmmer_397B, 1.54841, 1.55335, 2.04572, 1.5918, 1.53661, 1.53661, 1.53661,
hmmer_546B, 0.14692, 0.14678, 0.14695, 56.3739, 39.6651, 39.7514, 39.7514,
hmmer_7B, 1.096, 1.0774, 1.45227, 58.9654, 42.1696, 41.8317, 41.8317,
lbm_1004B, 32.253, 32.313, 40.0577, 53.4417, 36.9786, 36.9331, 36.9331,
lbm_564B, 33.74, 33.8364, 41.9793, 28.0448, 26.982, 26.8587, 26.8587,
lbm_94B, 30.5374, 30.6043, 36.9389, 24.3565, 23.4262, 23.5121, 23.5121,
leslie3d_1116B, 25.7597, 24.621, 26.9587, 32.7831, 32.807, 32.6693, 32.6693,
leslie3d_1186B, 21.1454, 20.2981, 23.4862, 38.1775, 38.2137, 38.5568, 38.6357,
leslie3d_94B, 26.0669, 26.0354, 32.7404, 36.4277, 36.3225, 36.2747, 36.2971,
libquantum_1210B, 30.0682, 30.0682, 38.3005, 46.3483, 46.3895, 46.4973, 46.6903,
