Traces,LRU,ship,hawkeye_base,hawkeye_SHCT_SIZE_BITS_9,hawkeye_SHCT_SIZE_BITS_10,hawkeye_SHCT_SIZE_BITS_12,hawkeye_SHCT_SIZE_BITS_13,
GemsFDTD_109B, 29.5603, 29.4737, 34.3807, 34.3131, 34.2771, 34.2642, 34.2622,
GemsFDTD_712B, 30.8693, 31.0156, 38.3794, 38.414, 38.3877, 38.3794, 38.4415,
GemsFDTD_716B, 14.2988, 14.258, 14.2399, 14.2309, 14.2456, 14.2405, 14.2405,
astar_163B, 1.04899, 1.00637, 1.5487, 1.54872, 1.54869, 1.5487, 1.5487,
astar_23B, 2.34687, 2.47195, 2.78844, 2.78844, 2.78844, 2.78844, 2.78844,
astar_313B, 40.2296, 41.6347, 42.7085, 42.7085, 42.7085, 42.726, 42.726,
bwaves_1609B, 22.7676, 22.7674, 22.1934, 22.1934, 22.1934, 22.1934, 22.1934,
bwaves_1861B, 23.1781, 23.1784, 23.5924, 23.5924, 23.5924, 23.5924, 23.5924,
bwaves_98B, 0.44515, 0.44537, 0.49355, 0.49466, 0.49467, 0.49355, 0.49355,
bzip2_183B, 1.50236, 1.48723, 1.36824, 1.36829, 1.36824, 1.36668, 1.36668,
bzip2_259B, 3.02356, 2.74037, 3.01102, 3.01094, 3.01095, 3.01102, 3.01102,
bzip2_281B, 2.38, 2.28488, 2.36609, 2.37159, 2.36612, 2.3336, 2.33328,
cactusADM_1039B, 8.95289, 8.95423, 8.21243, 8.22772, 8.22152, 8.20884, 8.20066,
cactusADM_1495B, 8.57671, 8.57878, 7.75906, 7.76953, 7.7552, 7.75903, 7.76747,
cactusADM_734B, 8.93522, 8.9418, 8.24235, 8.25893, 8.27523, 8.24465, 8.23787,
calculix_2655B, 1.13043, 1.11835, 1.22362, 1.22471, 1.22362, 1.22362, 1.22362,
calculix_2670B, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189,
calculix_3812B, 0.83019, 0.74979, 0.93318, 0.93323, 0.93319, 0.93318, 0.93318,
gamess_196B, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107,
gamess_247B, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337,
gamess_316B, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052,
gcc_13B, 14.5893, 14.6205, 16.333, 16.1401, 16.3302, 16.3279, 16.2758,
gcc_39B, 0.24572, 0.24577, 0.24574, 0.24574, 0.24574, 0.24574, 0.24574,
gcc_56B, 0.54689, 0.54392, 0.57837, 0.57964, 0.5789, 0.57837, 0.57837,
gobmk_135B, 0.274, 0.27159, 0.28585, 0.28573, 0.28589, 0.28578, 0.28575,
gobmk_60B, 0.26712, 0.26826, 0.28127, 0.2813, 0.28127, 0.28125, 0.28125,
gobmk_76B, 0.23215, 0.22875, 0.23603, 0.23624, 0.23615, 0.23596, 0.23598,
gromacs_0B, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212,
gromacs_1B, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009,
h264ref_178B, 0.76607, 0.745, 0.76143, 0.76349, 0.76009, 0.76082, 0.76146,
h264ref_273B, 0.79852, 0.75638, 0.75096, 0.74846, 0.75017, 0.75176, 0.75184,
h264ref_351B, 0.88766, 0.87988, 0.84877, 0.84568, 0.84653, 0.84872, 0.84951,
hmmer_397B, 1.54841, 1.55335, 2.04572, 2.04667, 2.04426, 2.04572, 2.04572,
hmmer_546B, 0.14692, 0.14678, 0.14695, 0.14695, 0.14695, 0.14695, 0.14695,
hmmer_7B, 1.096, 1.0774, 1.45227, 1.45227, 1.45229, 1.45217, 1.45217,
lbm_1004B, 32.253, 32.313, 40.0577, 40.1196, 40.0846, 39.9663, 39.9663,
lbm_564B, 33.74, 33.8364, 41.9793, 41.992, 41.9793, 41.9659, 41.9659,
lbm_94B, 30.5374, 30.6043, 36.9389, 36.9389, 36.9389, 36.9985, 36.9985,
leslie3d_1116B, 25.7597, 24.621, 26.9587, 27.0182, 26.9535, 26.9412, 26.8943,
leslie3d_1186B, 21.1454, 20.2981, 23.4862, 23.4861, 23.3982, 23.446, 23.5502,
leslie3d_94B, 26.0669, 26.0354, 32.7404, 32.8157, 32.773, 32.6977, 32.6849,
libquantum_1210B, 30.0682, 30.0682, 38.3005, 38.3005, 38.3005, 38.3005, 38.3005,
libquantum_1735B, 27.8944, 27.8944, 36.5451, 36.5451, 36.5451, 36.5451, 36.5451,
libquantum_964B, 33.9044, 33.9047, 46.4844, 46.4844, 46.4844, 46.4844, 46.4844,
mcf_158B, 76.099, 72.1072, 67.144, 67.1444, 67.1438, 67.144, 67.144,
mcf_250B, 89.1631, 80.0199, 70.4263, 70.408, 70.4261, 70.4263, 70.4263,
mcf_46B, 70.3854, 67.7448, 65.912, 65.9113, 65.9116, 65.912, 65.912,
milc_360B, 20.9585, 21.0882, 27.4214, 27.4665, 27.4215, 27.6486, 27.6486,
milc_409B, 18.1755, 18.3126, 25.8959, 25.7979, 25.8959, 25.8939, 25.8939,
milc_744B, 17.4449, 17.4885, 23.8639, 23.8688, 23.8639, 23.8563, 23.8563,
namd_1907B, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411,
namd_400B, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487,
namd_851B, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364,
omnetpp_17B, 10.3038, 5.38986, 7.07205, 7.07172, 7.07298, 7.07313, 7.07321,
omnetpp_340B, 17.0106, 17.2048, 20.3188, 20.5719, 20.51, 20.2384, 20.1635,
omnetpp_4B, 6.74132, 3.52066, 5.20024, 5.18301, 5.19813, 5.20068, 5.20193,
perlbench_105B, 0.19883, 0.19885, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883,
perlbench_135B, 0.2498, 0.26595, 0.23305, 0.23364, 0.23369, 0.23088, 0.23087,
perlbench_53B, 0.19001, 0.19422, 0.17334, 0.17349, 0.17345, 0.17369, 0.17358,
povray_250B, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424,
povray_437B, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727,
povray_711B, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694,
sjeng_1109B, 0.36747, 0.37084, 0.40697, 0.40696, 0.40697, 0.40697, 0.40697,
sjeng_1966B, 0.39669, 0.39892, 0.4403, 0.4403, 0.4403, 0.4403, 0.4403,
sjeng_358B, 0.36192, 0.36243, 0.39208, 0.39208, 0.39208, 0.39208, 0.39208,
soplex_205B, 34.1025, 33.0063, 31.9327, 32.8002, 32.098, 31.8898, 31.8905,
soplex_217B, 34.108, 32.7634, 30.0191, 30.703, 30.252, 29.9526, 29.904,
soplex_66B, 27.573, 25.4968, 25.0126, 25.5622, 25.0789, 25.0166, 24.938,
sphinx3_1339B, 10.9775, 9.89978, 6.62716, 6.49864, 6.50926, 6.6048, 6.60526,
sphinx3_2520B, 8.23917, 7.79928, 5.06459, 5.08011, 5.09635, 4.91466, 4.90772,
sphinx3_883B, 12.7567, 12.0154, 8.80186, 8.80887, 8.81232, 8.74442, 8.74467,
tonto_2049B, 0.11855, 0.11855, 0.11854, 0.11854, 0.11854, 0.11854, 0.11854,
tonto_2834B, 0.2061, 0.2061, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584,
tonto_422B, 2.76187, 2.29941, 2.36578, 2.64366, 2.3824, 2.37466, 2.3609,
wrf_1212B, 0.78051, 0.78017, 0.96226, 0.96204, 0.96544, 0.96196, 0.96196,
wrf_1228B, 10.1802, 9.95491, 10.7275, 10.8288, 10.7222, 10.7273, 10.729,
wrf_1650B, 7.84971, 7.85353, 8.9381, 8.91886, 8.94052, 8.94808, 8.94565,
xalancbmk_748B, 2.7187, 2.74432, 4.0082, 4.01236, 4.01102, 4.00903, 4.00353,
xalancbmk_768B, 0.27531, 0.27743, 0.3229, 0.32344, 0.32372, 0.32289, 0.32289,
xalancbmk_99B, 29.4543, 28.8014, 24.3415, 24.3286, 24.3498, 24.2437, 24.2431,
zeusmp_100B, 4.9905, 5.06636, 6.66023, 6.66023, 6.66023, 6.66023, 6.66023,
zeusmp_300B, 2.65241, 2.68278, 3.35052, 3.35534, 3.35052, 3.35052, 3.35052,
zeusmp_600B, 3.15904, 3.15866, 3.71532, 3.69961, 3.69962, 3.71525, 3.71525,
