Traces,LRU,ship,hawkeye_base,hawkeye_maxRRPV_2,hawkeye_maxRRPV_3,hawkeye_maxRRPV_4,hawkeye_maxRRPV_5,hawkeye_maxRRPV_6,hawkeye_maxRRPV_8,hawkeye_maxRRPV_9,hawkeye_maxRRPV_10,hawkeye_maxRRPV_11,hawkeye_maxRRPV_12,hawkeye_maxRRPV_13,hawkeye_maxRRPV_14,hawkeye_maxRRPV_15,
GemsFDTD_109B, 0.283648, 0.285414, 0.314225, 0.314235, 0.314235, 0.314235, 0.314248, 0.314183, 0.314054, 0.314479, 0.314235, 0.314235, 0.314235, 0.314235, 0.314235, 0.314235,
GemsFDTD_712B, 0.245121, 0.2447, 0.264601, 0.264601, 0.264601, 0.264601, 0.265284, 0.26487, 0.264499, 0.265409, 0.264601, 0.264601, 0.264601, 0.264601, 0.264601, 0.264601,
GemsFDTD_716B, 0.666375, 0.665459, 0.664643, 0.664513, 0.664513, 0.664513, 0.66468, 0.664555, 0.664769, 0.664395, 0.664513, 0.664513, 0.664513, 0.664513, 0.664513, 0.664513,
astar_163B, 0.660201, 0.66247, 0.657786, 0.657786, 0.657786, 0.657786, 0.658153, 0.657574, 0.657833, 0.657893, 0.657786, 0.657786, 0.657786, 0.657786, 0.657786, 0.657786,
astar_23B, 0.419457, 0.41898, 0.416812, 0.416812, 0.416812, 0.416812, 0.416969, 0.417011, 0.416943, 0.416888, 0.416812, 0.416812, 0.416812, 0.416812, 0.416812, 0.416812,
astar_313B, 0.146795, 0.147964, 0.177906, 0.177973, 0.177973, 0.177973, 0.17713, 0.178021, 0.177227, 0.176754, 0.177973, 0.177973, 0.177973, 0.177973, 0.177973, 0.177973,
bwaves_1609B, 0.2839, 0.2839, 0.292293, 0.292293, 0.292293, 0.292293, 0.292238, 0.292325, 0.292229, 0.292147, 0.292293, 0.292293, 0.292293, 0.292293, 0.292293, 0.292293,
bwaves_1861B, 0.322095, 0.322136, 0.333476, 0.333476, 0.333476, 0.333476, 0.333194, 0.3331, 0.333128, 0.332838, 0.333476, 0.333476, 0.333476, 0.333476, 0.333476, 0.333476,
bwaves_98B, 1.63098, 1.63101, 1.63188, 1.63188, 1.63188, 1.63188, 1.63175, 1.63189, 1.63189, 1.63188, 1.63188, 1.63188, 1.63188, 1.63188, 1.63188, 1.63188,
bzip2_183B, 1.21424, 1.22327, 1.24346, 1.24345, 1.24345, 1.24345, 1.2427, 1.24276, 1.24337, 1.24307, 1.24345, 1.24345, 1.24345, 1.24345, 1.24345, 1.24345,
bzip2_259B, 1.37101, 1.40418, 1.40729, 1.40729, 1.40729, 1.40729, 1.41089, 1.40805, 1.40698, 1.40777, 1.40729, 1.40729, 1.40729, 1.40729, 1.40729, 1.40729,
bzip2_281B, 1.35262, 1.35926, 1.35982, 1.36606, 1.36606, 1.36606, 1.3592, 1.36297, 1.36811, 1.36598, 1.36606, 1.36606, 1.36606, 1.36606, 1.36606, 1.36606,
cactusADM_1039B, 0.919853, 0.92173, 1.20787, 1.2084, 1.2084, 1.2084, 1.20741, 1.20619, 1.20717, 1.20921, 1.2084, 1.2084, 1.2084, 1.2084, 1.2084, 1.2084,
cactusADM_1495B, 0.947467, 0.947964, 1.2439, 1.24377, 1.24377, 1.24377, 1.24701, 1.24289, 1.24572, 1.24717, 1.24377, 1.24377, 1.24377, 1.24377, 1.24377, 1.24377,
cactusADM_734B, 0.908035, 0.908763, 1.17989, 1.17981, 1.17981, 1.17981, 1.17768, 1.17739, 1.17915, 1.17826, 1.17981, 1.17981, 1.17981, 1.17981, 1.17981, 1.17981,
calculix_2655B, 2.63851, 2.66754, 2.67016, 2.67016, 2.67016, 2.67016, 2.67907, 2.68205, 2.67435, 2.67444, 2.67016, 2.67016, 2.67016, 2.67016, 2.67016, 2.67016,
calculix_2670B, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774,
calculix_3812B, 2.60616, 2.65427, 2.58889, 2.58889, 2.58889, 2.58889, 2.5862, 2.58721, 2.58829, 2.58922, 2.58889, 2.58889, 2.58889, 2.58889, 2.58889, 2.58889,
gamess_196B, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002,
gamess_247B, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687,
gamess_316B, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947,
gcc_13B, 0.349187, 0.348736, 0.373272, 0.374049, 0.374049, 0.374049, 0.375498, 0.37521, 0.375214, 0.374882, 0.374049, 0.374049, 0.374049, 0.374049, 0.374049, 0.374049,
gcc_39B, 1.23344, 1.23344, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345,
gcc_56B, 1.45843, 1.45847, 1.45785, 1.45785, 1.45785, 1.45785, 1.45778, 1.4578, 1.45789, 1.45789, 1.45785, 1.45785, 1.45785, 1.45785, 1.45785, 1.45785,
gobmk_135B, 0.882018, 0.882233, 0.882303, 0.882307, 0.882307, 0.882307, 0.882261, 0.882281, 0.882257, 0.882226, 0.882307, 0.882307, 0.882307, 0.882307, 0.882307, 0.882307,
gobmk_60B, 0.910497, 0.9105, 0.91054, 0.910541, 0.910541, 0.910541, 0.910522, 0.910535, 0.910534, 0.910521, 0.910541, 0.910541, 0.910541, 0.910541, 0.910541, 0.910541,
gobmk_76B, 0.873691, 0.87384, 0.873748, 0.873754, 0.873754, 0.873754, 0.873765, 0.873763, 0.873734, 0.87375, 0.873754, 0.873754, 0.873754, 0.873754, 0.873754, 0.873754,
gromacs_0B, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077,
gromacs_1B, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082,
h264ref_178B, 1.58487, 1.58868, 1.59805, 1.59794, 1.59794, 1.59794, 1.59679, 1.59731, 1.59814, 1.5993, 1.59794, 1.59794, 1.59794, 1.59794, 1.59794, 1.59794,
h264ref_273B, 1.43549, 1.44032, 1.44734, 1.44725, 1.44725, 1.44725, 1.44852, 1.44822, 1.4474, 1.44742, 1.44725, 1.44725, 1.44725, 1.44725, 1.44725, 1.44725,
h264ref_351B, 1.45216, 1.45819, 1.46696, 1.46689, 1.46689, 1.46689, 1.46748, 1.46663, 1.46644, 1.46606, 1.46689, 1.46689, 1.46689, 1.46689, 1.46689, 1.46689,
hmmer_397B, 1.97556, 2.00264, 2.12941, 2.12941, 2.12941, 2.12941, 2.13129, 2.13072, 2.12022, 2.11912, 2.12941, 2.12941, 2.12941, 2.12941, 2.12941, 2.12941,
hmmer_546B, 2.30368, 2.30371, 2.30363, 2.30363, 2.30363, 2.30363, 2.30363, 2.30363, 2.30364, 2.30364, 2.30363, 2.30363, 2.30363, 2.30363, 2.30363, 2.30363,
hmmer_7B, 2.04122, 2.07903, 2.17418, 2.17459, 2.17459, 2.17459, 2.17215, 2.17267, 2.17478, 2.17551, 2.17459, 2.17459, 2.17459, 2.17459, 2.17459, 2.17459,
lbm_1004B, 0.245498, 0.245418, 0.30815, 0.308473, 0.308473, 0.308473, 0.309811, 0.309012, 0.30796, 0.309691, 0.308473, 0.308473, 0.308473, 0.308473, 0.308473, 0.308473,
lbm_564B, 0.236169, 0.235957, 0.298574, 0.298405, 0.298405, 0.298405, 0.299317, 0.298355, 0.297614, 0.298162, 0.298405, 0.298405, 0.298405, 0.298405, 0.298405, 0.298405,
lbm_94B, 0.25574, 0.25564, 0.328647, 0.327318, 0.327318, 0.327318, 0.329487, 0.328231, 0.326662, 0.326093, 0.327318, 0.327318, 0.327318, 0.327318, 0.327318, 0.327318,
leslie3d_1116B, 0.483338, 0.511825, 0.564357, 0.565028, 0.565028, 0.565028, 0.564877, 0.564378, 0.563796, 0.56438, 0.565028, 0.565028, 0.565028, 0.565028, 0.565028, 0.565028,
leslie3d_1186B, 0.565233, 0.59341, 0.617025, 0.618223, 0.618223, 0.618223, 0.614638, 0.613906, 0.617063, 0.616553, 0.618223, 0.618223, 0.618223, 0.618223, 0.618223, 0.618223,
leslie3d_94B, 0.424226, 0.423895, 0.42922, 0.429038, 0.429038, 0.429038, 0.429741, 0.429148, 0.429364, 0.429296, 0.429038, 0.429038, 0.429038, 0.429038, 0.429038, 0.429038,
libquantum_1210B, 0.315119, 0.31503, 0.329262, 0.329262, 0.329262, 0.329262, 0.328043, 0.326743, 0.327641, 0.32636, 0.329262, 0.329262, 0.329262, 0.329262, 0.329262, 0.329262,
libquantum_1735B, 0.315677, 0.315678, 0.304727, 0.304727, 0.304727, 0.304727, 0.305509, 0.30578, 0.305125, 0.305135, 0.304727, 0.304727, 0.304727, 0.304727, 0.304727, 0.304727,
libquantum_964B, 0.584076, 0.583197, 0.59774, 0.59774, 0.59774, 0.59774, 0.598521, 0.597509, 0.597102, 0.597096, 0.59774, 0.59774, 0.59774, 0.59774, 0.59774, 0.59774,
mcf_158B, 0.070319, 0.0724403, 0.0816203, 0.0816203, 0.0816203, 0.0816203, 0.0815622, 0.0815443, 0.0816021, 0.0815308, 0.0816203, 0.0816203, 0.0816203, 0.0816203, 0.0816203, 0.0816203,
mcf_250B, 0.0633837, 0.0664612, 0.0713127, 0.0713127, 0.0713127, 0.0713127, 0.0712673, 0.0712736, 0.0713253, 0.0713134, 0.0713127, 0.0713127, 0.0713127, 0.0713127, 0.0713127, 0.0713127,
mcf_46B, 0.0797116, 0.0818961, 0.091271, 0.091271, 0.091271, 0.091271, 0.0912469, 0.0911159, 0.0913128, 0.09117, 0.091271, 0.091271, 0.091271, 0.091271, 0.091271, 0.091271,
milc_360B, 0.564018, 0.560838, 0.563944, 0.559011, 0.559011, 0.559011, 0.562411, 0.562554, 0.562187, 0.560103, 0.559011, 0.559011, 0.559011, 0.559011, 0.559011, 0.559011,
milc_409B, 0.582121, 0.578301, 0.580621, 0.580058, 0.580058, 0.580058, 0.581134, 0.57813, 0.581302, 0.580972, 0.580058, 0.580058, 0.580058, 0.580058, 0.580058, 0.580058,
milc_744B, 0.653594, 0.653266, 0.648207, 0.647206, 0.647206, 0.647206, 0.648766, 0.64749, 0.648347, 0.648017, 0.647206, 0.647206, 0.647206, 0.647206, 0.647206, 0.647206,
namd_1907B, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199,
