Traces,LRU,ship,hawkeye_base,hawkeye_maxRRPV_2,hawkeye_maxRRPV_3,hawkeye_maxRRPV_4,hawkeye_maxRRPV_5,hawkeye_maxRRPV_6,hawkeye_maxRRPV_8,hawkeye_maxRRPV_9,hawkeye_maxRRPV_10,hawkeye_maxRRPV_11,hawkeye_maxRRPV_12,hawkeye_maxRRPV_13,hawkeye_maxRRPV_14,hawkeye_maxRRPV_15,
GemsFDTD_109B, 29.5603, 29.4737, 34.3807, 34.2642, 34.2642, 34.2642, 34.3541, 34.4295, 34.3307, 34.2494, 34.2642, 34.2642, 34.2642, 34.2642, 34.2642, 34.2642,
GemsFDTD_712B, 30.8693, 31.0156, 38.3794, 38.3794, 38.3794, 38.3794, 38.3158, 38.5133, 38.5327, 38.4393, 38.3794, 38.3794, 38.3794, 38.3794, 38.3794, 38.3794,
GemsFDTD_716B, 14.2988, 14.258, 14.2399, 14.2405, 14.2405, 14.2405, 14.2313, 14.2388, 14.228, 14.2404, 14.2405, 14.2405, 14.2405, 14.2405, 14.2405, 14.2405,
astar_163B, 1.04899, 1.00637, 1.5487, 1.5487, 1.5487, 1.5487, 1.54462, 1.59175, 1.55283, 1.55653, 1.5487, 1.5487, 1.5487, 1.5487, 1.5487, 1.5487,
astar_23B, 2.34687, 2.47195, 2.78844, 2.78844, 2.78844, 2.78844, 2.76173, 2.75563, 2.7732, 2.76185, 2.78844, 2.78844, 2.78844, 2.78844, 2.78844, 2.78844,
astar_313B, 40.2296, 41.6347, 42.7085, 42.726, 42.726, 42.726, 42.8541, 42.7381, 42.7883, 42.7528, 42.726, 42.726, 42.726, 42.726, 42.726, 42.726,
bwaves_1609B, 22.7676, 22.7674, 22.1934, 22.1934, 22.1934, 22.1934, 22.2002, 22.1899, 22.201, 22.2124, 22.1934, 22.1934, 22.1934, 22.1934, 22.1934, 22.1934,
bwaves_1861B, 23.1781, 23.1784, 23.5924, 23.5924, 23.5924, 23.5924, 23.6072, 23.5937, 23.6123, 23.6301, 23.5924, 23.5924, 23.5924, 23.5924, 23.5924, 23.5924,
bwaves_98B, 0.44515, 0.44537, 0.49355, 0.49355, 0.49355, 0.49355, 0.49309, 0.4936, 0.49355, 0.49355, 0.49355, 0.49355, 0.49355, 0.49355, 0.49355, 0.49355,
bzip2_183B, 1.50236, 1.48723, 1.36824, 1.36668, 1.36668, 1.36668, 1.37154, 1.37268, 1.36886, 1.36808, 1.36668, 1.36668, 1.36668, 1.36668, 1.36668, 1.36668,
bzip2_259B, 3.02356, 2.74037, 3.01102, 3.01102, 3.01102, 3.01102, 2.99227, 2.99157, 2.99602, 2.98858, 3.01102, 3.01102, 3.01102, 3.01102, 3.01102, 3.01102,
bzip2_281B, 2.38, 2.28488, 2.36609, 2.3336, 2.3336, 2.3336, 2.36937, 2.32166, 2.32106, 2.33863, 2.3336, 2.3336, 2.3336, 2.3336, 2.3336, 2.3336,
cactusADM_1039B, 8.95289, 8.95423, 8.21243, 8.20884, 8.20884, 8.20884, 8.19154, 8.20169, 8.19652, 8.20169, 8.20884, 8.20884, 8.20884, 8.20884, 8.20884, 8.20884,
cactusADM_1495B, 8.57671, 8.57878, 7.75906, 7.75903, 7.75903, 7.75903, 7.75253, 7.75941, 7.75334, 7.7564, 7.75903, 7.75903, 7.75903, 7.75903, 7.75903, 7.75903,
cactusADM_734B, 8.93522, 8.9418, 8.24235, 8.24465, 8.24465, 8.24465, 8.2689, 8.23906, 8.24393, 8.24366, 8.24465, 8.24465, 8.24465, 8.24465, 8.24465, 8.24465,
calculix_2655B, 1.13043, 1.11835, 1.22362, 1.22362, 1.22362, 1.22362, 1.21143, 1.21322, 1.21684, 1.20978, 1.22362, 1.22362, 1.22362, 1.22362, 1.22362, 1.22362,
calculix_2670B, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189,
calculix_3812B, 0.83019, 0.74979, 0.93318, 0.93318, 0.93318, 0.93318, 0.94244, 0.93865, 0.9292, 0.93149, 0.93318, 0.93318, 0.93318, 0.93318, 0.93318, 0.93318,
gamess_196B, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107,
gamess_247B, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337,
gamess_316B, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052, 0.03052,
gcc_13B, 14.5893, 14.6205, 16.333, 16.3279, 16.3279, 16.3279, 16.358, 16.3599, 16.3372, 16.3769, 16.3279, 16.3279, 16.3279, 16.3279, 16.3279, 16.3279,
gcc_39B, 0.24572, 0.24577, 0.24574, 0.24574, 0.24574, 0.24574, 0.24577, 0.24574, 0.24574, 0.24574, 0.24574, 0.24574, 0.24574, 0.24574, 0.24574, 0.24574,
gcc_56B, 0.54689, 0.54392, 0.57837, 0.57837, 0.57837, 0.57837, 0.5785, 0.57898, 0.5775, 0.57772, 0.57837, 0.57837, 0.57837, 0.57837, 0.57837, 0.57837,
gobmk_135B, 0.274, 0.27159, 0.28585, 0.28578, 0.28578, 0.28578, 0.28693, 0.28653, 0.28288, 0.28162, 0.28578, 0.28578, 0.28578, 0.28578, 0.28578, 0.28578,
gobmk_60B, 0.26712, 0.26826, 0.28127, 0.28125, 0.28125, 0.28125, 0.28162, 0.28134, 0.28129, 0.28336, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125, 0.28125,
gobmk_76B, 0.23215, 0.22875, 0.23603, 0.23596, 0.23596, 0.23596, 0.23651, 0.23623, 0.23579, 0.23562, 0.23596, 0.23596, 0.23596, 0.23596, 0.23596, 0.23596,
gromacs_0B, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212, 0.22212,
gromacs_1B, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009, 0.07009,
h264ref_178B, 0.76607, 0.745, 0.76143, 0.76082, 0.76082, 0.76082, 0.76084, 0.76706, 0.76105, 0.75192, 0.76082, 0.76082, 0.76082, 0.76082, 0.76082, 0.76082,
h264ref_273B, 0.79852, 0.75638, 0.75096, 0.75176, 0.75176, 0.75176, 0.74339, 0.74401, 0.7523, 0.75242, 0.75176, 0.75176, 0.75176, 0.75176, 0.75176, 0.75176,
h264ref_351B, 0.88766, 0.87988, 0.84877, 0.84872, 0.84872, 0.84872, 0.83599, 0.84003, 0.84505, 0.84853, 0.84872, 0.84872, 0.84872, 0.84872, 0.84872, 0.84872,
hmmer_397B, 1.54841, 1.55335, 2.04572, 2.04572, 2.04572, 2.04572, 2.04382, 2.04364, 2.03687, 2.05897, 2.04572, 2.04572, 2.04572, 2.04572, 2.04572, 2.04572,
hmmer_546B, 0.14692, 0.14678, 0.14695, 0.14695, 0.14695, 0.14695, 0.14695, 0.14695, 0.14691, 0.14684, 0.14695, 0.14695, 0.14695, 0.14695, 0.14695, 0.14695,
hmmer_7B, 1.096, 1.0774, 1.45227, 1.45217, 1.45217, 1.45217, 1.46481, 1.45642, 1.44911, 1.44464, 1.45217, 1.45217, 1.45217, 1.45217, 1.45217, 1.45217,
lbm_1004B, 32.253, 32.313, 40.0577, 39.9663, 39.9663, 39.9663, 39.8999, 39.9824, 40.1852, 40.0082, 39.9663, 39.9663, 39.9663, 39.9663, 39.9663, 39.9663,
lbm_564B, 33.74, 33.8364, 41.9793, 41.9659, 41.9659, 41.9659, 41.8116, 41.9121, 41.9514, 41.9277, 41.9659, 41.9659, 41.9659, 41.9659, 41.9659, 41.9659,
lbm_94B, 30.5374, 30.6043, 36.9389, 36.9985, 36.9985, 36.9985, 36.7947, 36.8311, 37.045, 37.0485, 36.9985, 36.9985, 36.9985, 36.9985, 36.9985, 36.9985,
leslie3d_1116B, 25.7597, 24.621, 26.9587, 26.9412, 26.9412, 26.9412, 26.8715, 26.9664, 26.9877, 26.9666, 26.9412, 26.9412, 26.9412, 26.9412, 26.9412, 26.9412,
leslie3d_1186B, 21.1454, 20.2981, 23.4862, 23.446, 23.446, 23.446, 23.4822, 23.5625, 23.525, 23.5099, 23.446, 23.446, 23.446, 23.446, 23.446, 23.446,
leslie3d_94B, 26.0669, 26.0354, 32.7404, 32.6977, 32.6977, 32.6977, 32.6895, 32.7084, 32.6198, 32.6814, 32.6977, 32.6977, 32.6977, 32.6977, 32.6977, 32.6977,
libquantum_1210B, 30.0682, 30.0682, 38.3005, 38.3005, 38.3005, 38.3005, 38.2932, 38.3857, 38.2866, 38.3296, 38.3005, 38.3005, 38.3005, 38.3005, 38.3005, 38.3005,
libquantum_1735B, 27.8944, 27.8944, 36.5451, 36.5451, 36.5451, 36.5451, 36.477, 36.4405, 36.5041, 36.5062, 36.5451, 36.5451, 36.5451, 36.5451, 36.5451, 36.5451,
libquantum_964B, 33.9044, 33.9047, 46.4844, 46.4844, 46.4844, 46.4844, 46.4508, 46.4764, 46.4791, 46.4861, 46.4844, 46.4844, 46.4844, 46.4844, 46.4844, 46.4844,
mcf_158B, 76.099, 72.1072, 67.144, 67.144, 67.144, 67.144, 67.1667, 67.2314, 67.163, 67.2595, 67.144, 67.144, 67.144, 67.144, 67.144, 67.144,
mcf_250B, 89.1631, 80.0199, 70.4263, 70.4263, 70.4263, 70.4263, 70.5624, 70.4922, 70.3961, 70.4114, 70.4263, 70.4263, 70.4263, 70.4263, 70.4263, 70.4263,
mcf_46B, 70.3854, 67.7448, 65.912, 65.912, 65.912, 65.912, 65.9451, 66.0434, 65.8468, 66.0017, 65.912, 65.912, 65.912, 65.912, 65.912, 65.912,
