Traces,LRU,ship,shippp_base,shippp_SHCT_bits_10,shippp_SHCT_bits_12,shippp_SHCT_bits_16,shippp_SHCT_bits_18,
GemsFDTD_109B, 29.5603, 29.4737, 35.9876, 35.9569, 35.9569, 35.9569, 35.9569,
GemsFDTD_712B, 30.8693, 31.0156, 39.9325, 39.9533, 39.9533, 39.9533, 39.9533,
GemsFDTD_716B, 14.2988, 14.258, 14.1951, 14.2086, 14.2086, 14.2086, 14.2086,
astar_163B, 1.04899, 1.00637, 2.04372, 2.06899, 2.06899, 2.06899, 2.06899,
astar_23B, 2.34687, 2.47195, 2.74636, 2.79831, 2.79831, 2.79831, 2.79831,
astar_313B, 40.2296, 41.6347, 42.8221, 42.685, 42.685, 42.685, 42.685,
bwaves_1609B, 22.7676, 22.7674, 22.1795, 22.1795, 22.1795, 22.1795, 22.1795,
bwaves_1861B, 23.1781, 23.1784, 23.8039, 23.8039, 23.8039, 23.8039, 23.8039,
bwaves_98B, 0.44515, 0.44537, 0.50006, 0.50006, 0.50006, 0.50006, 0.50006,
bzip2_183B, 1.50236, 1.48723, 1.46662, 1.45971, 1.45971, 1.45971, 1.45971,
bzip2_259B, 3.02356, 2.74037, 2.85094, 2.8489, 2.8489, 2.8489, 2.8489,
bzip2_281B, 2.38, 2.28488, 2.2452, 2.2756, 2.2756, 2.2756, 2.2756,
cactusADM_1039B, 8.95289, 8.95423, 8.22831, 8.24058, 8.24058, 8.24058, 8.24058,
cactusADM_1495B, 8.57671, 8.57878, 7.88297, 7.8791, 7.8791, 7.8791, 7.8791,
cactusADM_734B, 8.93522, 8.9418, 8.17769, 8.25451, 8.25451, 8.25451, 8.25451,
calculix_2655B, 1.13043, 1.11835, 1.4054, 1.41167, 1.41167, 1.41167, 1.41167,
calculix_2670B, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189, 0.0189,
calculix_3812B, 0.83019, 0.74979, 1.15278, 1.19606, 1.19606, 1.19606, 1.19606,
gamess_196B, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107, 0.03107,
gamess_247B, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337, 0.01337,
