Traces,LRU,ship,shippp_base,shippp_maxRRPV_2,shippp_maxRRPV_4,shippp_maxRRPV_5,shippp_maxRRPV_6,shippp_maxRRPV_7,shippp_maxRRPV_8,shippp_maxRRPV_9,shippp_maxRRPV_10,shippp_maxRRPV_11,shippp_maxRRPV_12,shippp_maxRRPV_13,shippp_maxRRPV_14,shippp_maxRRPV_15,
GemsFDTD_109B, 0.283648, 0.285414, 0.314091, 0.3148, 0.311922, 0.310971, 0.308848, 0.314118, 0.314118, 0.314118, 0.314118, 0.314118, 0.314118, 0.314118, 0.314118, 0.314118,
GemsFDTD_712B, 0.245121, 0.2447, 0.264737, 0.264806, 0.265008, 0.264689, 0.264884, 0.264723, 0.264723, 0.264723, 0.264723, 0.264723, 0.264723, 0.264723, 0.264723, 0.264723,
GemsFDTD_716B, 0.666375, 0.665459, 0.668622, 0.670528, 0.668718, 0.66726, 0.666827, 0.668318, 0.668318, 0.668318, 0.668318, 0.668318, 0.668318, 0.668318, 0.668318, 0.668318,
astar_163B, 0.660201, 0.66247, 0.650618, 0.65047, 0.650302, 0.650271, 0.65027, 0.650359, 0.650359, 0.650359, 0.650359, 0.650359, 0.650359, 0.650359, 0.650359, 0.650359,
astar_23B, 0.419457, 0.41898, 0.417445, 0.417614, 0.415715, 0.415251, 0.414084, 0.416605, 0.416605, 0.416605, 0.416605, 0.416605, 0.416605, 0.416605, 0.416605, 0.416605,
astar_313B, 0.146795, 0.147964, 0.176666, 0.170871, 0.178199, 0.182533, 0.179674, 0.177922, 0.177922, 0.177922, 0.177922, 0.177922, 0.177922, 0.177922, 0.177922, 0.177922,
bwaves_1609B, 0.2839, 0.2839, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447, 0.292447,
bwaves_1861B, 0.322095, 0.322136, 0.331818, 0.332137, 0.331712, 0.331701, 0.331699, 0.331818, 0.331818, 0.331818, 0.331818, 0.331818, 0.331818, 0.331818, 0.331818, 0.331818,
bwaves_98B, 1.63098, 1.63101, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212, 1.63212,
bzip2_183B, 1.21424, 1.22327, 1.23232, 1.23095, 1.23231, 1.23314, 1.23684, 1.23205, 1.23205, 1.23205, 1.23205, 1.23205, 1.23205, 1.23205, 1.23205, 1.23205,
bzip2_259B, 1.37101, 1.40418, 1.42012, 1.41137, 1.42605, 1.42509, 1.42246, 1.42277, 1.42277, 1.42277, 1.42277, 1.42277, 1.42277, 1.42277, 1.42277, 1.42277,
bzip2_281B, 1.35262, 1.35926, 1.38736, 1.38532, 1.39414, 1.39211, 1.39204, 1.38894, 1.38894, 1.38894, 1.38894, 1.38894, 1.38894, 1.38894, 1.38894, 1.38894,
cactusADM_1039B, 0.919853, 0.92173, 1.20156, 1.19816, 1.20309, 1.20165, 1.20129, 1.19946, 1.19946, 1.19946, 1.19946, 1.19946, 1.19946, 1.19946, 1.19946, 1.19946,
cactusADM_1495B, 0.947467, 0.947964, 1.21877, 1.21763, 1.21805, 1.2188, 1.21747, 1.21979, 1.21979, 1.21979, 1.21979, 1.21979, 1.21979, 1.21979, 1.21979, 1.21979,
cactusADM_734B, 0.908035, 0.908763, 1.18209, 1.16526, 1.17336, 1.17431, 1.17378, 1.16982, 1.16982, 1.16982, 1.16982, 1.16982, 1.16982, 1.16982, 1.16982, 1.16982,
calculix_2655B, 2.63851, 2.66754, 2.653, 2.65383, 2.65434, 2.64871, 2.64933, 2.64941, 2.64941, 2.64941, 2.64941, 2.64941, 2.64941, 2.64941, 2.64941, 2.64941,
calculix_2670B, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774, 2.81774,
calculix_3812B, 2.60616, 2.65427, 2.61941, 2.66027, 2.6101, 2.60509, 2.60323, 2.61547, 2.61547, 2.61547, 2.61547, 2.61547, 2.61547, 2.61547, 2.61547, 2.61547,
gamess_196B, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002, 1.57002,
gamess_247B, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687, 1.58687,
gamess_316B, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947, 1.65947,
gcc_13B, 0.349187, 0.348736, 0.369062, 0.3674, 0.36991, 0.371197, 0.37018, 0.366924, 0.366924, 0.366924, 0.366924, 0.366924, 0.366924, 0.366924, 0.366924, 0.366924,
gcc_39B, 1.23344, 1.23344, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345, 1.23345,
gcc_56B, 1.45843, 1.45847, 1.45837, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836, 1.45836,
gobmk_135B, 0.882018, 0.882233, 0.882356, 0.882342, 0.882351, 0.88235, 0.882349, 0.882356, 0.882356, 0.882356, 0.882356, 0.882356, 0.882356, 0.882356, 0.882356, 0.882356,
gobmk_60B, 0.910497, 0.9105, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557, 0.910557,
gobmk_76B, 0.873691, 0.87384, 0.873847, 0.873802, 0.873844, 0.873844, 0.873841, 0.873846, 0.873846, 0.873846, 0.873846, 0.873846, 0.873846, 0.873846, 0.873846, 0.873846,
gromacs_0B, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077, 1.83077,
gromacs_1B, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082, 1.79082,
h264ref_178B, 1.58487, 1.58868, 1.59875, 1.59302, 1.60082, 1.60095, 1.60131, 1.59867, 1.59867, 1.59867, 1.59867, 1.59867, 1.59867, 1.59867, 1.59867, 1.59867,
h264ref_273B, 1.43549, 1.44032, 1.45098, 1.44812, 1.45284, 1.4537, 1.45381, 1.45139, 1.45139, 1.45139, 1.45139, 1.45139, 1.45139, 1.45139, 1.45139, 1.45139,
