Traces,LRU,ship,shippp_base,shippp_maxSHCTR_5,shippp_maxSHCTR_6,shippp_maxSHCTR_8,shippp_maxSHCTR_9,
GemsFDTD_109B, 0.283648, 0.285414, 0.314091, 0.313815, 0.313965, 0.314105, 0.314032,
GemsFDTD_712B, 0.245121, 0.2447, 0.264737, 0.26489, 0.264879, 0.265061, 0.264779,
GemsFDTD_716B, 0.666375, 0.665459, 0.668622, 0.66794, 0.668065, 0.668735, 0.669696,
astar_163B, 0.660201, 0.66247, 0.650618, 0.650527, 0.649971, 0.65026, 0.650229,
astar_23B, 0.419457, 0.41898, 0.417445, 0.417143, 0.417394, 0.417461, 0.417442,
astar_313B, 0.146795, 0.147964, 0.176666, 0.292451, 0.292451, 0.292451, 0.292451,
bwaves_1609B, 0.2839, 0.2839, 0.292447, 0.331966, 0.331966, 0.331966, 0.331966,
bwaves_1861B, 0.322095, 0.322136, 0.331818, 1.63238, 1.63238, 1.63238, 1.63238,
bwaves_98B, 1.63098, 1.63101, 1.63212, 1.24117, 1.24188, 1.2417, 1.24141,
bzip2_183B, 1.21424, 1.22327, 1.23232, 1.42692, 1.42582, 1.42403, 1.42176,
bzip2_259B, 1.37101, 1.40418, 1.42012, 1.39079, 1.39026, 1.39223, 1.38947,
bzip2_281B, 1.35262, 1.35926, 1.38736, 1.19271, 1.19613, 1.19794, 1.2017,
cactusADM_1039B, 0.919853, 0.92173, 1.20156, 1.22363, 1.21609, 1.22668, 1.23886,
cactusADM_1495B, 0.947467, 0.947964, 1.21877, 2.67989, 2.68059, 2.67751, 2.68219,
cactusADM_734B, 0.908035, 0.908763, 1.18209, 2.81774, 2.81774, 2.81774, 2.81774,
calculix_2655B, 2.63851, 2.66754, 2.653, 2.63464, 2.62565, 2.63981, 2.63988,
calculix_2670B, 2.81774, 2.81774, 2.81774, 1.57027, 1.57027, 1.57027, 1.57027,
calculix_3812B, 2.60616, 2.65427, 2.61941, 1.58692, 1.58692, 1.58692, 1.58692,
gamess_196B, 1.57002, 1.57002, 1.57002, 1.65948, 1.65948, 1.65948, 1.65948,
gamess_247B, 1.58687, 1.58687, 1.58687, 0.363357, 0.365829, 0.368986, 0.369462,
gamess_316B, 1.65947, 1.65947, 1.65947, 1.23345, 1.23345, 1.23345, 1.23345,
gcc_13B, 0.349187, 0.348736, 0.369062, 1.45517, 1.45517, 1.45517, 1.45517,
gcc_39B, 1.23344, 1.23344, 1.23345, 0.882476, 0.882475, 0.88249, 0.882484,
gcc_56B, 1.45843, 1.45847, 1.45837, 0.910233, 0.910239, 0.910238, 0.910238,
gobmk_135B, 0.882018, 0.882233, 0.882356, 0.874755, 0.874813, 0.874816, 0.874812,
gobmk_60B, 0.910497, 0.9105, 0.910557, 1.8308, 1.8308, 1.8308, 1.8308,
